s#,sname,sex,height,bdate,dorm
23388885,公嘉,男,1.74,2004-05-18,西 15 舍 805
16341973,吴娟,女,1.6,2004-09-09,西 23 舍 721
10045831,张姝,女,1.66,2005-05-06,西 1 舍 630
32033951,潘晗,男,1.72,2004-12-14,东 8 舍 307
47424893,冯鸣哲,男,1.87,2004-08-29,东 20 舍 721
26949259,张思杉,男,1.59,2006-09-22,西 7 舍 422
32334710,袁澎,男,1.67,2004-11-26,西 12 舍 425
44155958,刘贝韵,女,1.55,2002-05-31,西 20 舍 418
42564003,刘青熙,女,1.61,2005-01-20,西 1 舍 113
24455914,刘璟,女,1.69,2004-10-21,西 16 舍 606
10462189,程宛晴,女,1.53,2006-09-30,东 8 舍 117
13656839,温庆星,男,1.6,2002-05-19,西 7 舍 316
29467287,王苑,女,1.55,2004-03-01,东 10 舍 205
19365687,王文峥,男,1.76,2002-07-13,东 23 舍 722
12949516,林锐,男,1.69,2007-02-05,西 20 舍 116
18797517,李熙岩,男,1.69,2003-02-06,西 14 舍 420
23508591,曹泽元,男,1.8,2007-04-12,西 19 舍 723
41727524,吴奕宗,男,1.73,2006-12-30,西 6 舍 103
37268161,刘秦恒,男,1.68,2003-07-29,东 8 舍 418
40914012,缪葵,女,1.56,2004-02-09,西 1 舍 713
36110146,杨冠,男,1.72,2002-10-21,东 17 舍 615
17193352,苏青波,女,1.52,2006-02-22,东 4 舍 410
11507436,王婉慧,女,1.6,2006-02-12,西 22 舍 411
49798199,程浚梓,男,1.93,2007-03-17,东 11 舍 426
17612260,钱君启,男,1.77,2003-05-28,西 9 舍 316
45276819,张铭锵,男,1.78,2002-05-29,东 3 舍 225
43663891,高茂彦,男,1.77,2003-04-25,西 9 舍 219
16859943,张德东,男,1.76,2006-04-09,东 9 舍 524
16011974,李景,男,1.74,2002-06-10,西 16 舍 201
43756361,周环,女,1.61,2006-10-30,东 7 舍 802
26618999,王佳禾,女,1.64,2006-01-21,西 16 舍 829
19465011,郭文妮,女,1.55,2002-08-19,东 6 舍 822
18067734,邓友,男,1.79,2002-05-25,西 9 舍 124
13550406,张万信,男,1.82,2003-05-11,东 8 舍 227
39416999,赵松樱,女,1.6,2006-05-01,西 19 舍 121
16841849,郑纹珊,女,1.59,2005-06-12,西 4 舍 707
48725063,熊炫灿,男,1.84,2003-04-28,西 9 舍 121
14939829,赵庆星,男,1.71,2005-11-05,西 4 舍 426
48666983,姜泽,男,1.8,2004-03-25,西 15 舍 705
46455508,杨莉菲,女,1.66,2007-04-20,西 7 舍 505
21146437,李婵,女,1.72,2006-08-15,西 14 舍 604
49977015,周宛霞,女,1.6,2004-01-28,西 11 舍 508
46295730,左枫宁,女,1.56,2006-03-28,西 9 舍 126
15777787,张慕鸿,男,1.74,2002-12-06,西 1 舍 411
41254754,华克,男,1.79,2003-01-14,西 17 舍 429
45430641,尹杉哲,男,1.74,2005-08-17,东 3 舍 324
40398794,林茜惠,女,1.57,2004-08-31,东 10 舍 611
48749650,吴雅,女,1.63,2002-12-08,东 10 舍 124
12316715,李垒,男,1.72,2004-09-01,西 18 舍 820
27029460,马凯泽,男,1.75,2006-09-05,西 7 舍 720
12616707,马好,女,1.64,2006-06-11,西 11 舍 207
48243468,钱杉哲,男,1.71,2004-10-08,东 19 舍 810
16579324,尹纹,女,1.63,2006-06-01,西 6 舍 219
23693569,谭坤灵,男,1.82,2004-11-26,西 10 舍 729
26465378,吴希嫣,女,1.46,2003-06-09,东 20 舍 726
47804777,徐蒲,男,1.64,2003-03-19,西 8 舍 804
29755210,侯清媛,女,1.53,2006-10-21,西 6 舍 403
19466755,唐铭锵,男,1.78,2004-11-27,西 23 舍 206
16198847,赵衡,男,1.72,2003-04-05,东 4 舍 714
33388761,李思杉,男,1.64,2002-12-26,东 13 舍 313
45682545,冯殿,男,1.69,2002-10-18,东 17 舍 304
28516333,刘雅惠,女,1.65,2006-06-14,西 2 舍 607
13597271,冯理,男,1.69,2005-12-06,西 2 舍 201
44167448,袁竽磊,男,1.79,2006-04-26,东 23 舍 830
48332243,柴琳,女,1.48,2002-07-01,西 13 舍 828
29331741,李鸣哲,男,1.92,2005-11-25,西 6 舍 311
25590699,张偀,女,1.7,2005-02-08,东 19 舍 823
29844689,张环,女,1.63,2006-10-08,西 7 舍 512
12912856,宋铃,女,1.61,2002-11-28,西 12 舍 809
38349588,李万信,男,1.66,2006-10-04,东 21 舍 105
30688644,何睿,男,1.69,2007-04-04,西 7 舍 111
15488238,高秦恒,男,1.85,2004-03-05,西 19 舍 118
24491071,解云诺,男,1.89,2005-08-31,东 18 舍 522
25477235,田文妮,女,1.61,2005-06-29,西 3 舍 302
16149660,吕依梅,女,1.61,2006-01-18,西 4 舍 720
42641504,卢旭平,男,1.83,2003-07-19,东 21 舍 511
41759304,徐文妮,女,1.58,2005-10-25,东 10 舍 608
41330541,刘炫灿,男,1.75,2006-04-27,西 8 舍 125
20368989,谭宇军,男,1.89,2003-06-02,东 16 舍 826
48818918,杨怡芬,女,1.57,2005-01-20,东 5 舍 428
42065967,刘蔚,女,1.46,2004-04-25,西 5 舍 203
33064306,王林,男,1.76,2003-07-11,东 9 舍 127
37972573,李苗,男,1.8,2007-05-01,西 8 舍 723
48495174,张珅南,男,1.7,2005-04-23,西 8 舍 630
39704402,方昊惟,男,1.83,2004-07-14,东 14 舍 601
26048406,孙烨,男,1.71,2003-01-02,东 19 舍 306
13913874,鲍庆星,男,1.81,2004-10-24,东 17 舍 602
14351933,黄奕宗,男,1.74,2005-07-23,东 3 舍 413
34571052,张承彬,男,1.66,2005-02-23,东 5 舍 326
13903878,张文妮,女,1.59,2005-03-06,西 15 舍 624
42278127,田泽若,男,1.75,2004-07-06,东 7 舍 507
41064096,朱昭美,女,1.56,2007-03-13,东 7 舍 811
31002006,田晨纶,男,1.75,2004-06-07,东 18 舍 824
43569058,李浩泽,男,1.67,2006-06-12,东 20 舍 228
28373067,胡璇兰,女,1.61,2005-10-05,西 9 舍 201
28195201,尚皓润,男,1.8,2002-10-05,东 24 舍 409
41603672,何新菱,女,1.65,2003-08-29,东 4 舍 419
22259673,李兰璇,女,1.6,2003-12-13,西 19 舍 210
41386004,杨昊,女,1.67,2002-07-01,东 15 舍 327
49289235,曹泽明,男,1.68,2006-04-09,西 22 舍 518
45996054,庄鸣哲,男,1.92,2005-02-19,东 24 舍 305
46393485,孙偌瑾,女,1.58,2003-06-02,东 24 舍 119
34894136,钱偌瑾,女,1.61,2002-12-19,东 5 舍 702
19037905,万之,男,1.73,2002-11-26,西 10 舍 113
